,auc,dcnn_domain,img_domain,orientation,id
410,0.580625,objects,100_faces_100_each,upright,objects_21
411,0.626875,objects,100_faces_100_each,upright,objects_22
412,0.5118750000000001,objects,100_faces_100_each,upright,objects_23
413,0.540625,objects,100_faces_100_each,upright,objects_24
414,0.4443749999999999,objects,100_faces_100_each,upright,objects_25
415,0.614375,objects,100_faces_100_each,upright,objects_26
416,0.5743750000000001,objects,100_faces_100_each,upright,objects_27
417,0.6643749999999999,objects,100_faces_100_each,upright,objects_28
418,0.5718749999999999,objects,100_faces_100_each,upright,objects_29
419,0.675,objects,100_faces_100_each,upright,objects_30
420,0.918125,objects,100_objects_100_each,inverted,objects_1
421,0.9375,objects,100_objects_100_each,inverted,objects_2
422,0.91125,objects,100_objects_100_each,inverted,objects_3
423,0.85,objects,100_objects_100_each,inverted,objects_4
424,0.935,objects,100_objects_100_each,inverted,objects_5
425,0.964375,objects,100_objects_100_each,inverted,objects_6
426,0.945,objects,100_objects_100_each,inverted,objects_7
427,0.846875,objects,100_objects_100_each,inverted,objects_8
428,0.931875,objects,100_objects_100_each,inverted,objects_9
429,0.958125,objects,100_objects_100_each,inverted,objects_10
430,0.940625,objects,100_objects_100_each,inverted,objects_11
431,0.8606250000000001,objects,100_objects_100_each,inverted,objects_12
432,0.8675,objects,100_objects_100_each,inverted,objects_13
433,0.8818750000000001,objects,100_objects_100_each,inverted,objects_14
434,0.901875,objects,100_objects_100_each,inverted,objects_15
435,0.8668750000000001,objects,100_objects_100_each,inverted,objects_16
436,0.97125,objects,100_objects_100_each,inverted,objects_17
437,0.919375,objects,100_objects_100_each,inverted,objects_18
438,0.924375,objects,100_objects_100_each,inverted,objects_19
439,0.85,objects,100_objects_100_each,inverted,objects_20
440,0.9275,objects,100_objects_100_each,inverted,objects_21
441,0.94375,objects,100_objects_100_each,inverted,objects_22
442,0.96375,objects,100_objects_100_each,inverted,objects_23
443,0.933125,objects,100_objects_100_each,inverted,objects_24
